budget_steps,best_baseline_method,best_baseline_jsd,beats_best_baseline,jsd_margin_vs_best_baseline,jsd,spotwise_cosine,mean_celltype_pearson,rmse,num_supervised_spots,num_train_spots,num_eval_spots,interpretation,evidence
0,RCTD (multi),0.1782,False,-0.1874,0.3656,0.2866,0.281,0.1666,171,,,No-retuning domain-shift result; reported honestly even when a baseline is better.,results/nature_external_matched_gt/xenium_rep1_pseudospots_radius55_common297/rep1_retune_budget_curve/rep1_minimal_retune_budget_curve.csv
25,RCTD (multi),0.1782,True,0.05234,0.1259,0.7633,0.5426,0.09053,171,975.0,171.0,Minimal Rep1 adaptation budget evaluated on the held-out Rep1 test split.,results/nature_external_matched_gt/xenium_rep1_pseudospots_radius55_common297/rep1_retune_budget_curve/rep1_minimal_retune_budget_curve.csv
50,RCTD (multi),0.1782,True,0.09546,0.08276,0.8618,0.5999,0.06541,171,975.0,171.0,Minimal Rep1 adaptation budget evaluated on the held-out Rep1 test split.,results/nature_external_matched_gt/xenium_rep1_pseudospots_radius55_common297/rep1_retune_budget_curve/rep1_minimal_retune_budget_curve.csv
100,RCTD (multi),0.1782,True,0.09839,0.07983,0.8699,0.6262,0.06425,171,975.0,171.0,Minimal Rep1 adaptation budget evaluated on the held-out Rep1 test split.,results/nature_external_matched_gt/xenium_rep1_pseudospots_radius55_common297/rep1_retune_budget_curve/rep1_minimal_retune_budget_curve.csv
250,RCTD (multi),0.1782,True,0.1253,0.05295,0.9355,0.6525,0.0457,171,975.0,171.0,Minimal Rep1 adaptation budget evaluated on the held-out Rep1 test split.,results/nature_external_matched_gt/xenium_rep1_pseudospots_radius55_common297/rep1_retune_budget_curve/rep1_minimal_retune_budget_curve.csv
500,RCTD (multi),0.1782,True,0.1397,0.03853,0.9605,0.6705,0.03439,171,975.0,171.0,Minimal Rep1 adaptation budget evaluated on the held-out Rep1 test split.,results/nature_external_matched_gt/xenium_rep1_pseudospots_radius55_common297/rep1_retune_budget_curve/rep1_minimal_retune_budget_curve.csv
